"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 10:13:44 GMT 2022","Wed Sep 28 10:13:47 GMT 2022","3320","chromium","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Wed Sep 28 10:13:47 GMT 2022","Wed Sep 28 10:13:49 GMT 2022","2316","chromium","","Redmine.org","","","should go to register page",""
"passed","Wed Sep 28 10:13:49 GMT 2022","Wed Sep 28 10:13:52 GMT 2022","2326","chromium","","Redmine.org","","","should verify menu on main page",""
"passed","Wed Sep 28 10:14:51 GMT 2022","Wed Sep 28 10:14:54 GMT 2022","3065","Google Chrome","","Redmine.org","","","should registration with empty credentials",""
"passed","Wed Sep 28 10:14:23 GMT 2022","Wed Sep 28 10:14:34 GMT 2022","11299","firefox","","Redmine.org","","","should registration with credentials",""
"passed","Wed Sep 28 10:14:54 GMT 2022","Wed Sep 28 10:15:05 GMT 2022","10267","Google Chrome","","Redmine.org","","","should registration with credentials",""
"passed","Wed Sep 28 10:13:52 GMT 2022","Wed Sep 28 10:13:55 GMT 2022","3033","chromium","","Redmine.org","","","should registration with empty credentials",""
"passed","Wed Sep 28 10:13:55 GMT 2022","Wed Sep 28 10:14:05 GMT 2022","10305","chromium","","Redmine.org","","","should registration with credentials",""
"passed","Wed Sep 28 10:14:07 GMT 2022","Wed Sep 28 10:14:11 GMT 2022","4067","firefox","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Wed Sep 28 10:14:36 GMT 2022","Wed Sep 28 10:14:46 GMT 2022","10376","Google Chrome","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Wed Sep 28 10:14:11 GMT 2022","Wed Sep 28 10:14:14 GMT 2022","2895","firefox","","Redmine.org","","","should go to register page",""
"passed","Wed Sep 28 10:14:17 GMT 2022","Wed Sep 28 10:14:23 GMT 2022","6009","firefox","","Redmine.org","","","should registration with empty credentials",""
"passed","Wed Sep 28 10:14:14 GMT 2022","Wed Sep 28 10:14:17 GMT 2022","3064","firefox","","Redmine.org","","","should verify menu on main page",""
"passed","Wed Sep 28 10:14:46 GMT 2022","Wed Sep 28 10:14:48 GMT 2022","1912","Google Chrome","","Redmine.org","","","should go to register page",""
"passed","Wed Sep 28 10:14:48 GMT 2022","Wed Sep 28 10:14:51 GMT 2022","2987","Google Chrome","","Redmine.org","","","should verify menu on main page",""
