"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 15:58:19 EEST 2022","Fri Sep 16 15:58:24 EEST 2022","5250","firefox","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Fri Sep 16 15:58:32 EEST 2022","Fri Sep 16 15:58:34 EEST 2022","2470","Google Chrome","","Redmine.org","","","should verify menu on main page",""
"passed","Fri Sep 16 15:58:10 EEST 2022","Fri Sep 16 15:58:17 EEST 2022","7174","chromium","","Redmine.org","","","should go to register page",""
"passed","Fri Sep 16 15:58:10 EEST 2022","Fri Sep 16 15:58:17 EEST 2022","6871","chromium","","Redmine.org","","","should verify menu on main page",""
"passed","Fri Sep 16 15:58:10 EEST 2022","Fri Sep 16 15:58:17 EEST 2022","7125","chromium","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Fri Sep 16 15:58:10 EEST 2022","Fri Sep 16 15:58:18 EEST 2022","8276","chromium","","Redmine.org","","","should registration with empty credentials",""
"passed","Fri Sep 16 15:58:19 EEST 2022","Fri Sep 16 15:58:24 EEST 2022","5080","firefox","","Redmine.org","","","should go to register page",""
"passed","Fri Sep 16 15:58:31 EEST 2022","Fri Sep 16 15:58:34 EEST 2022","2741","Google Chrome","","Redmine.org","","","should registration with empty credentials",""
"passed","Fri Sep 16 15:58:31 EEST 2022","Fri Sep 16 15:58:34 EEST 2022","3272","Google Chrome","","Redmine.org","","","should go to register page",""
"passed","Fri Sep 16 15:58:24 EEST 2022","Fri Sep 16 15:58:36 EEST 2022","11834","firefox","","Redmine.org","","","should registration with credentials",""
"passed","Fri Sep 16 15:58:21 EEST 2022","Fri Sep 16 15:58:26 EEST 2022","4503","firefox","","Redmine.org","","","should verify menu on main page",""
"passed","Fri Sep 16 15:58:24 EEST 2022","Fri Sep 16 15:58:29 EEST 2022","4436","firefox","","Redmine.org","","","should registration with empty credentials",""
"passed","Fri Sep 16 15:58:17 EEST 2022","Fri Sep 16 15:58:30 EEST 2022","12839","chromium","","Redmine.org","","","should registration with credentials",""
"passed","Fri Sep 16 15:58:28 EEST 2022","Fri Sep 16 15:58:31 EEST 2022","3426","Google Chrome","","Redmine.org","","","title should be ""Overview - Redmine""",""
"passed","Fri Sep 16 15:58:34 EEST 2022","Fri Sep 16 15:58:44 EEST 2022","9977","Google Chrome","","Redmine.org","","","should registration with credentials",""
